cid,Smiles,classlabel
CHEMBL418303,Cc1ccc2cccc(OC(=O)/C=C/c3ccc(O)c(O)c3)c2n1,0
CHEMBL108253,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccccc2)c1,0
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,0
CHEMBL3740456,COc1ccc(C2=Cc3ccc(F)cc3C(CC(=O)C(C)O)N2c2ccc(C#N)cc2)cc1,0
CHEMBL1230532,O=C(O)Cc1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,0
CHEMBL1773413,CN(C)S(=O)(=O)c1cn(Cc2ccc(F)cc2)c2cnc3c(c12)CCN(O)C3=O,1
CHEMBL4473298,Cn1c(Nc2cccc(-c3cccc(C#N)c3)c2)cc(=O)n(O)c1=O,0
CHEMBL478246,Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)s2)c(=O)o1,0
CHEMBL550784,Cc1nc(CN2CCn3c(nc(C(=O)NCc4ccc(F)cc4)c(O)c3=O)C2(C)C)no1,1
CHEMBL1668660,CC1C(=O)N(O)C(=O)c2ccccc21,0
CHEMBL2311867,COc1cc(Br)cc(/C=N/NC(=O)c2ccccn2)c1O,0
CHEMBL2316117,C[C@@H](O)CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,1
CHEMBL3414874,O=C1Cc2cc(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)cc3)ccc2C(=O)N1O,0
CHEMBL3238129,CCN1CCN(c2ccc3c(=O)c(C(=O)/C=C(\O)C(=O)O)cn(Cc4ccc(F)cc4)c3c2)CC1,0
CHEMBL128547,O=C1c2ccccc2C(=O)c2c(Nc3ccc(S(=O)(=O)N(CCO)CCO)cc3)ccc(O)c21,0
CHEMBL498634,O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2cc(C(=O)O)cc3c2OCO3)o1,0
CHEMBL389142,CN1CCOCC1c1nc(C(=O)NCc2cccc(Cl)c2)c(O)c(=O)n1C,1
CHEMBL416582,CC(=O)Oc1ccc(/C=C/C(=O)NCCOC(=O)/C=C/c2ccc(OC(C)=O)c(OC(C)=O)c2)cc1OC(C)=O,0
CHEMBL412570,CC1=NN(C(=O)c2ccccc2O)C(=O)/C1=C/c1cccc(O)c1,0
CHEMBL3309268,CCNC(=O)Cn1c(=O)c(C(=O)NC)c(O)c2ncc(Cc3ccc(F)cc3)cc21,1
CHEMBL177705,O=C1c2c(c(O)c3nccnc3c2O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,0
CHEMBL572901,CN1CCN(c2cc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CC1,1
CHEMBL1214585,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(Cl)cc2F)c2cccc(OC)c12,0
CHEMBL174039,O=C(NNC(=O)c1ccccc1O)c1ccccc1O.O=C(NNCC(O)COc1ccccc1)c1ccccc1O,0
CHEMBL2398133,CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@](C)(NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O)CC/C=C/CC[C@@](C)(C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)NC1=O,0
CHEMBL2316124,Cn1c(=O)c(C(=O)NC2(CO)CCCC2)c(O)c2ncc(Cc3ccc(F)cc3)cc21,1
CHEMBL3087629,Cc1cccc(Cn2cccc2/C=C/C(=O)CC(=O)C(=O)O)c1,0
CHEMBL558481,O=C(O)Cn1cc(C(=O)O)c(=O)c2cc(Cc3cccc(Cl)c3Cl)ccc21,1
CHEMBL4276707,COc1ccc(Sc2cc(=O)n(O)c(=O)[nH]2)cc1,0
CHEMBL467410,C=C(CC[C@@H](C)[C@H]1CC=C2C3=C(C(=O)[C@H](OC(C)=O)[C@@]21C)[C@@]1(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]1CC3)C(C)C,0
CHEMBL377501,O=C(O)C(=O)/C=C(\O)c1ccc2c(c1)c(=O)c(/C(O)=C/C(=O)C(=O)O)cn2Cc1ccc(F)cc1,1
CHEMBL2316111,CN(CCNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O)S(C)(=O)=O,1
CHEMBL360065,O=C1c2c(c(O)c3nnccc3c2O)C(=O)N1Cc1cccc(Br)c1,0
CHEMBL79687,O=C1C(=O)c2ccccc2C(O)=C1Cc1ccc(Cl)cc1,0
CHEMBL456365,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(N3CCCC3)ccc2c1=O,0
CHEMBL323255,O=C1Sc2ccc(Br)cc2C(=O)N2CCSC12,0
CHEMBL3414870,CS(=O)(=O)c1ccc(-c2ccc(Cc3ccc4c(c3)CC(=O)N(O)C4=O)cc2)cc1,0
CHEMBL1222460,COC(=O)N1C[C@@H](F)C[C@H]1c1nc(C(=O)NCc2ccc(C)c(Cl)c2)c(O)c(=O)n1C,1
CHEMBL554737,CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1S(C)(=O)=O,1
CHEMBL241606,O=C(Nc1ccccc1C(=O)O)c1ccc(C(=O)Nc2ccccc2C(=O)O)cc1,0
CHEMBL557646,CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1Cc1cn[nH]c1,1
CHEMBL82696,O=C(O)c1ccc(C(c2c(O)oc3ccccc3c2=O)c2c(O)oc3ccccc3c2=O)cc1,0
CHEMBL1813508,O=C(NCc1ccc(C(F)(F)F)cc1)c1cc(S(=O)(=O)N2CCCCC2)cc(O)c1O,0
CHEMBL264263,O=C(Nc1ccc(O)c(-c2nc3ccccc3o2)c1)c1cccc2ccccc12,0
CHEMBL456791,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(Cl)ccc2c1=O,0
CHEMBL240752,NC(=O)NN=C1c2cc(S(=O)(=O)NCc3ccco3)ccc2-c2ccc(S(=O)(=O)NCc3ccco3)cc21,0
CHEMBL236614,N#C/C(=C\c1ccc(-c2ccc(Cl)c(C(=O)O)c2)o1)c1nc2ccccc2[nH]1,0
CHEMBL1214480,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cccc(F)c2Cl)c2cccc(OC)c12,0
CHEMBL1269478,O=c1ccc2cccnc2n1O,0
CHEMBL3414858,Cc1ccc(Cc2ccc3c(c2)CC(=O)N(O)C3=O)cc1,0
CHEMBL3582071,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(Cl)c2)c2ccccc2c1=O,0
