cid,Smiles,classlabel
CHEMBL380588,NC(=O)C(=O)Nc1nc(C(=O)NCc2ccc(F)cc2)c(O)c2ncccc12,1
CHEMBL1271008,COc1ccc(/C=C2\C(=O)N(c3ccc(C(=O)O)cc3)N=C2C(F)(F)F)cc1OCc1ccc(F)cc1,0
CHEMBL3360135,Cn1ncnc1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOCC2)n(C)c(=O)c1O,1
CHEMBL252570,O=C1c2c(ccc(O)c2O)CN1N1Cc2ccc(O)c(O)c2S1(=O)=O,0
CHEMBL458432,Cc1cc(Cl)cc2c1S(=O)(=O)N=C(C(=O)c1ccc3ccccc3c1)S2,0
CHEMBL2398127,C=CCCC[C@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@](C)(CCCC=C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0
CHEMBL456991,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2c(Cl)cccc2c1=O,0
CHEMBL195104,O=C(Nc1ccc(Cc2ccc(O)c(NC(=O)c3ccccc3F)c2)cc1O)c1ccccc1F,0
CHEMBL3360117,Cn1c(C2CCCCO2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,1
CHEMBL493295,CN(C)S(=O)(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1
CHEMBL448424,O=C(CC(=O)C(=O)O)CC(=O)c1ccccc1,0
CHEMBL4452801,Cc1nc2cc(-c3ccccc3)nn2c(-c2ccccc2)c1C(OC(C)(C)C)C(=O)O,0
CHEMBL1214586,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(Cl)c(F)c2)c2cccc(OC)c12,0
CHEMBL1813126,CCOC(=O)CC(=O)Nc1ccc(C(=O)O)cc1,0
CHEMBL455050,COc1ccc(NC(=O)c2cc(S(=O)(=O)Nc3nc4ccccc4c(=O)[nH]3)c(SCc3ccccc3)cc2Cl)cc1,0
CHEMBL108773,O=C(NN1C(=O)C(Cl)C1c1ccccc1Cl)c1ccccc1O,0
CHEMBL499475,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1cc(F)ccc1F,1
CHEMBL1224083,O=C1C(O)=C(C2=C(C3=C(O)C(=O)c4ccccc4C3=O)C(=O)c3ccccc3C2=O)C(=O)c2ccccc21,0
CHEMBL491538,NC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,1
