cid,Smiles,activity
CHEMBL549422,CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1Cc1nnn[nH]1,8.7
CHEMBL3415853,O=C(O)/C(O)=C/C(=O)c1cc(-c2ccccc2)cn1Cc1ccc(F)cc1,7.72
CHEMBL559492,CC(=O)N1CCN(C)CC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,7
CHEMBL33475,O=C1Sc2cc3ccccc3cc2C(=O)N2CCSC12,4.353333333
CHEMBL557308,CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1CC(=O)N1CCCC1,8.15
CHEMBL448271,CN(C(=O)[C@H](N)c1cc(Cl)c(O)c(Cl)c1)[C@@H](Cc1ccc(Oc2cc3cc(c2O)-c2cccc4c(c[nH]c24)C[C@@H](N)C(=O)N[C@H](c2cc(Cl)c(O)c(Cl)c2)C(=O)N[C@H]3C(=O)O)cc1)C(=O)O,4.59
CHEMBL3989866,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2,8.12
CHEMBL48573,O=C(/C=C/c1cccn1Cc1ccc(F)cc1)CC(=O)C(=O)O,7.58
CHEMBL560836,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C1CCCCC1,8.17
CHEMBL67076,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O,5.77
CHEMBL1914550,O=C(NCc1ccc(F)cc1C(F)(F)F)c1c(O)c2ncc(Cc3ccccc3)cc2[nH]c1=O,7.5
CHEMBL492538,CCN(CC)C(=O)C(=O)N(CC)c1cccn2c(=O)c(O)c(C(=O)NCc3ccc(F)cc3)nc12,7.72
CHEMBL250779,O=C(CSc1nnc(Cc2ccccc2)n1C1CCCCC1)NNC(=O)c1ccccc1O,4.725
CHEMBL373133,CC(=O)c1ccc(/C=C/S(=O)(=O)CS(=O)(=O)/C=C/c2ccc(C(C)=O)c(C(C)=O)c2)cc1C(C)=O,4.16
CHEMBL1223400,Cn1c([C@@H]2C[C@H](F)CN2C2CC2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,7.7
CHEMBL1213726,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1ccc(F)cc1Cl,7.22
CHEMBL3309903,CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(N)=O)c1=O,8.12
CHEMBL2316136,O=C(NCCCN1CCCC1=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,8.4
CHEMBL389142,CN1CCOCC1c1nc(C(=O)NCc2cccc(Cl)c2)c(O)c(=O)n1C,7.21
CHEMBL272194,CC1=NN(c2nnn[nH]2)C(=O)/C1=C\c1cc(Cl)c(O)c(Cl)c1,7.925
CHEMBL310293,O=c1c(C(c2ccc3c(c2)Cc2ccccc2-3)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,5.065
CHEMBL427235,CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,5.125
CHEMBL3360120,Cn1c(C2CCOC2)nc(C(=O)NCc2ccc(F)cc2N2CCCCS2(=O)=O)c(O)c1=O,8.05
CHEMBL381234,COc1ccc(C(=O)Nc2ccc(O)c(-c3nc4ccccc4o3)c2)cc1[N+](=O)[O-],5.19
CHEMBL3288834,COC(=O)[C@H](CO)Nc1c(C(=O)NCc2ccc(F)cc2F)c(=O)n(O)c2ncccc12,8.08
CHEMBL3612301,Cc1ccc(-c2c(C(OC(C)(C)C)C(=O)O)ccc3sc(C)cc23)cc1,7.34
CHEMBL232228,O=C(NCc1c[nH]c2ccccc12)c1nc(-c2cccs2)nc(O)c1O,7.7
CHEMBL175404,O=C1c2c(c(O)c3nccnc3c2O)C(=O)N1Cc1cccc2ccccc12,5.85
CHEMBL1773411,O=C1c2ncc3c(c(S(=O)(=O)N4CCOCC4)cn3Cc3ccc(F)cc3)c2CCN1O,7.37
CHEMBL208722,COC(=O)C(=O)/C=C(\O)c1cccn1Cc1ccc(F)cc1,4.32
CHEMBL563507,O=C1c2c(ccc(O)c2O)CN1Cc1ccc(F)c(F)c1,4.14
CHEMBL1773321,CN(Cc1cn(Cc2ccc(F)cc2)c2cnc3c(c12)CCN(O)C3=O)CC1CC1,7.46
CHEMBL389566,CN1CC[S+]([O-])CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.43
CHEMBL3125968,O=C(NCc1ccc(F)cc1F)c1cc2ccccc2n(O)c1=O,4.71
CHEMBL249447,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1O,5.89
CHEMBL551437,CCCn1cc(C(=O)O)c(=O)c2cc(Cc3cccc(Cl)c3Cl)ccc21,7.26
CHEMBL35842,O=C(c1cccc(Cc2ccccc2)c1)c1ccc2cccnc2c1O,7.3
CHEMBL2407277,COc1ccc(NC(=O)C2C(=O)N(O)C(=O)c3ccccc32)cc1Cl,7.7
CHEMBL1813501,O=C(NCC1CCCCC1)c1cccc(O)c1O,4.75
CHEMBL395819,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)c(Br)c2)c(O)c(=O)n1C,7.36
CHEMBL514836,O=C1CC(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CN1,7.62
CHEMBL563628,CC(=O)N1CCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,7.4
CHEMBL242883,O=C(O)/C(O)=C/C(=O)c1cccc(Cc2ccccc2)c1,7.3
CHEMBL338145,CC1=NN(c2ccccc2)C(=O)C1/N=N/c1ccc(S(=O)(=O)Nc2nccc(C)n2)cc1,4.47
CHEMBL177673,O=C1c2c(c(O)c3nccnc3c2O)C(=O)N1c1ccc2c(c1)OCO2,5
CHEMBL173530,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,5.426
CHEMBL563631,Cc1cnc(CN2CCn3c(nc(C(=O)NCc4ccc(F)cc4)c(O)c3=O)C2(C)C)o1,8.1
CHEMBL171315,CC1OC(O)C(O)C(O)C1Oc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,4.32
CHEMBL368123,O=C1OC2C(O)COC2(O)C1(O)Cc1cc(O)c(O)c(Br)c1Br,4.41
CHEMBL1914564,O=C(NCc1ccc(F)cc1)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(=O)N2CCOCC2)c1=O,8.1
CHEMBL128927,O=S(=O)(Nc1nnc2c3ccccc3cnn12)c1ccc(Cl)cc1S,4.475
CHEMBL240511,Cc1ccc(NC(=O)CN2C(=O)/C(=N\NC(=O)c3ccc4ccccc4n3)c3ccccc32)cc1,4.08
CHEMBL1909980,COc1ccc(CCN2C(=O)C(O)=C(C(=O)c3ccccc3)C2c2ccccc2)cc1,4.225
CHEMBL1914561,O=C(NCc1ccc(F)cc1)c1c(O)c2ncc(Cc3ccccc3)cc2n(CCN2CCCC2=O)c1=O,7.5
CHEMBL495540,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1c(F)cccc1F,7.1
CHEMBL173234,Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)c3cccn4c(=O)c5ccccc5nc34)cc2)n1,4.235
CHEMBL1914558,O=C(NCc1ccc(F)cc1)c1c(O)c2ncc(Cc3ccccc3)cc2n(CC2CC2)c1=O,7.47
CHEMBL211490,C[C@H](N)C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)NCC(N)=O,4.22
CHEMBL335480,Cc1cc(S(=O)(=O)/N=C(\NN)NNc2cccc(C(F)(F)F)n2)c(S)cc1Cl,4.03
CHEMBL549713,O=C(Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1)c1cc(O)c(O)c(O)c1,5.49
CHEMBL284616,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,4.256666667
CHEMBL550574,Cc1cc(CN2C(=O)c3ccc(O)c(O)c3C2=O)ccc1F,4.96
CHEMBL128729,COc1cc(/C=C/C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.43
CHEMBL557899,O=C1c2c(ccc(O)c2O)CN1Cc1ccc(Cl)c(Cl)c1,7
CHEMBL1914460,CN(C)C(=O)Cn1c(=O)c(C(=O)NCc2ccc(F)cc2)c(O)c2ncc(Cc3ccc(F)cc3)cc21,8.4
CHEMBL1258612,Cn1ccn2c(=O)c(O)c(C(=O)NCc3ccc(F)cc3)nc12,7.12
CHEMBL340697,Cc1cc(S(=O)(=O)Nc2nnc3c4c(C)csc4ncn23)c(S)cc1Cl,5.45
CHEMBL2407279,O=C(Nc1ccc(F)cc1)C1C(=O)N(O)C(=O)c2ccccc21,5.95
CHEMBL414850,O=C(NCc1ccc(F)cc1)c1nc(N2CCCCS2(=O)=O)c2cccnc2c1O,8.297058824
CHEMBL172350,COc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,4.22
CHEMBL188686,COC(=O)C(=O)CC(=O)c1cc2ccccc2n1C,4.175
CHEMBL392160,CCn1c(=O)c(C(=O)NNC(=O)c2cccc([N+](=O)[O-])c2)c(O)c2ccccc21,4.6
CHEMBL371492,O=C(/C=C(\O)c1ccc(Cl)cc1)C(=O)/N=N/c1c(O)[nH]c2ccc(Br)cc12,4.465
CHEMBL190009,O=S(=O)(/C=C/c1cc(O)c(O)c(O)c1)CS(=O)(=O)/C=C/c1cc(O)c(O)c(O)c1,5.75
CHEMBL1917872,O=C(NCc1ccc(F)cc1)c1c(O)c2ncccc2[nH]c1=O,7.89
CHEMBL236409,CNC(=O)c1cn2c(c1O)C(=O)N(Cc1ccc(Cl)c(Cl)c1)CC2,7.4
CHEMBL3360114,Cn1c(C2(C)CCCO2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.3
CHEMBL83746,COc1cc(NC(=O)c2ccc3ccc(C(=O)O)c(O)c3n2)cc(O)c1O,5.19
CHEMBL105883,Cc1cc2cc(O)c(O)cc2c(C)c1-c1ccccc1C(F)(F)F,4.66
CHEMBL554284,Cc1nnc(CN2CCn3c(nc(C(=O)NCc4ccc(F)cc4)c(O)c3=O)C2(C)C)o1,8.3
CHEMBL461259,COc1c2c(c(O)c3ncc(Cc4ccc(F)cc4)cc13)C(=O)NC2,7.85
CHEMBL2316119,Cn1c(=O)c(C(=O)NCC(F)F)c(O)c2ncc(Cc3ccc(F)cc3)cc21,8.3
CHEMBL556473,O=C1c2ccc(O)c(O)c2C(=O)N1Cc1cccc(Cl)c1F,5.15
CHEMBL3334642,O=C(NCc1cccc(F)c1)c1nc(-c2ccc(F)cc2)[nH]c(=O)c1O,5.11
